[class1\T03.01-addition-within-20.json] 2 need explanations, 72 already done
[class1\T04.02-3d-shapes-introduction.json] 1 need explanations, 71 already done
[class1\T05.01-length-and-distance-informal.json] 1 need explanations, 69 already done
[class1-science\T01.03-plants-around-us.json] 1 need explanations, 56 already done
[class1-science\T01.04-animals-around-us.json] 1 need explanations, 56 already done
[class1-science\T01.05-food-we-eat.json] 2 need explanations, 55 already done
[class1-science\T01.06-water.json] 1 need explanations, 56 already done
[class1-science\T01.07-air.json] 1 need explanations, 56 already done
[class1-science\T01.08-weather-and-seasons.json] 2 need explanations, 55 already done
[class1-science\T01.09-day-and-night.json] 2 need explanations, 55 already done
[class1-science\T01.10-good-habits.json] 1 need explanations, 56 already done
[class10\T01.01-compound-interest.json] 6 need explanations, 74 already done
[class10\T01.02-sales-tax-and-gst.json] 6 need explanations, 74 already done
[class10\T01.03-banking.json] 3 need explanations, 77 already done
[class10\T01.04-shares-and-dividends.json] 3 need explanations, 69 already done
[class10\T02.01-factor-and-remainder-theorem.json] 4 need explanations, 76 already done
[class10\T02.02-quadratic-equations.json] 1 need explanations, 79 already done
[class10\T02.03-ratio-and-proportion.json] 5 need explanations, 75 already done
[class10\T02.04-matrices.json] 6 need explanations, 74 already done
[class10\T02.05-arithmetic-progression.json] 9 need explanations, 71 already done
[class10\T02.06-geometric-progression.json] 4 need explanations, 76 already done
[class10\T02.07-surds-and-rationalisation.json] 8 need explanations, 72 already done
[class10\T03.01-similarity-of-triangles.json] 2 need explanations, 78 already done
[class10\T03.02-circles.json] 1 need explanations, 79 already done
[class10\T03.04-loci.json] 2 need explanations, 78 already done
[class10\T04.01-surface-area-and-volume-of-solids.json] 5 need explanations, 75 already done
[class10\T05.01-trigonometric-identities.json] 2 need explanations, 74 already done
[class10\T05.02-complementary-angles.json] 1 need explanations, 75 already done
[class10\T05.03-heights-and-distances.json] 5 need explanations, 75 already done
[class10\T06.01-equation-of-a-straight-line.json] 2 need explanations, 78 already done
[class10\T06.02-distance-and-section-formulae.json] 3 need explanations, 77 already done
[class10\T07.01-grouped-data-and-graphical-representation.json] 1 need explanations, 79 already done
[class10\T07.02-measures-of-central-tendency.json] 2 need explanations, 78 already done
[class10\T08.01-probability-of-single-events.json] 7 need explanations, 73 already done
